stop_id,nombre,ciudad,provincia,latitud,longitud,num_andenes,tiene_sala_club
15200,Uxo,Uxo,Desconocida,43.2046962,-5.7926422,0,0
15120,Campumanes,Campumanes,Desconocida,43.1100681,-5.8164466,0,0
15118,Fierros,Fierros,Desconocida,43.0715986,-5.769465,0,0
23000,Redondela-Picota,Redondela-Picota,Desconocida,42.286866,-8.607118,0,0
23009,Catoira,Catoira,Desconocida,42.672166,-8.725291,0,0
23010,Pontecesures,Pontecesures,Desconocida,42.722985,-8.65213,0,0
23011,Padron,Padron,Desconocida,42.738967,-8.652614,0,0
31415,Ordes,Ordes,Desconocida,43.037544,-8.448447,0,0
31411,Uxes,Uxes,Desconocida,43.297374,-8.444404,0,0
23005,Portela,Portela,Desconocida,42.517801,-8.654609,0,0
23013,Osebe,Osebe,Desconocida,42.825298,-8.61584,0,0
23018,Pontevedra-Universidad,Pontevedra-Universidad,Desconocida,42.4387499,-8.6304812,0,0
23001,Cesantes,Cesantes,Desconocida,42.310258,-8.616541,0,0
20002,Quintana-Raneros,Quintana-Raneros,Desconocida,42.550085,-5.637789,0,0
20008,Villavante,Villavante,Desconocida,42.46458,-5.838914,0,0
20006,Barrientos,Barrientos,Desconocida,42.414301,-5.963988,0,0
20007,Nistal,Nistal,Desconocida,42.424462,-6.00803,0,0
20103,Porqueros,Porqueros,Desconocida,42.598935,-6.108238,0,0
20106,La Granja de San Vicente,La Granja de San Vicente,Desconocida,42.614874,-6.282495,0,0
22110,Caldelas,Caldelas,Desconocida,42.055813,-8.566343,0,0
22109,Salvaterra de Miño,Salvaterra de Miño,Desconocida,42.08164,-8.495141,0,0
22108,As Neves,As Neves,Desconocida,42.075462,-8.420074,0,0
22106,Arbo,Arbo,Desconocida,42.107058,-8.300247,0,0
22104,Frieira,Frieira,Desconocida,42.154882,-8.201036,0,0
22103,Filgueira,Filgueira,Desconocida,42.219917,-8.184788,0,0
22102,Ribadavia,Ribadavia,Desconocida,42.2931,-8.139261,0,0
22101,Barbantes,Barbantes,Desconocida,42.338376,-8.011721,0,0
20212,Vilamartin de Valdeorras,Vilamartin de Valdeorras,Desconocida,42.411829,-7.061185,0,0
20210,Sobradelo,Sobradelo,Desconocida,42.414859,-6.911951,0,0
20208,Quereño,Quereño,Desconocida,42.420704,-6.829486,0,0
20207,Covas,Covas,Desconocida,42.475326,-6.830878,0,0
20204,Toral de Los Vados,Toral de Los Vados,Desconocida,42.541052,-6.776703,0,0
20203,Villadepalos,Villadepalos,Desconocida,42.53686,-6.751109,0,0
20214,Montefurado,Montefurado,Desconocida,42.39402,-7.1984,0,0
